time,branch-misses,branch-instructions,LLC-load-misses,L1-dcache-load-misses,instructions,label,program,branch-misses_mean,branch-misses_std,branch-misses_max,branch-instructions_mean,branch-instructions_std,branch-instructions_max,LLC-load-misses_mean,LLC-load-misses_std,LLC-load-misses_max,L1-dcache-load-misses_mean,L1-dcache-load-misses_std,L1-dcache-load-misses_max,instructions_mean,instructions_std,instructions_max,miss_rate,branch_miss_rate,cache_miss_ratio
0.020735074,14829,585349,2275,75541,2905245,0,ffmpeg,13930.3,3543.36503748778,15752.0,566311.2,71850.93746207027,598035.0,3069.2,1766.0176669557245,7944.0,252946.8,557539.0835326256,1839729.0,2790628.7,416824.76891033415,2961504.0,0.0007830662188331,0.0253335611172802,33.1902460456942
0.020736579,15239,589224,2401,76566,2921067,0,ffmpeg,13956.1,3552.7921867489104,15752.0,566888.3,72026.87737543612,598035.0,3072.1,1764.768946160679,7944.0,253021.7,557512.6935732894,1839729.0,2792940.8,417549.6884547436,2961504.0,0.0008219596394195,0.0258627858627858,31.8759367194005
0.020736953,15209,592947,2461,77551,2936136,0,ffmpeg,15088.8,307.88987930694805,15752.0,589949.2,4842.165580776935,598035.0,2523.8,429.6496764157865,3666.0,76803.9,844.0494259007982,77996.0,2925935.2,22077.45870508288,2961504.0,0.0008381761477751,0.0256498040300329,31.49918765231519
0.020737135,14902,582319,2596,77389,2907879,0,ffmpeg,15080.4,312.122910266101,15752.0,588732.7,5097.667506974241,598035.0,2536.6,429.7092557115682,3666.0,76783.5,825.1112046446442,77996.0,2922175.1,21575.11755387573,2961504.0,0.0008927466057746,0.0255907404863305,29.7993839045052
0.020741064,15610,590044,2242,77501,2930028,0,ffmpeg,15144.6,350.1447954484634,15752.0,588996.2,5089.738364864351,598035.0,2536.3,429.9364423309448,3666.0,76957.5,766.943174794234,77996.0,2923448.1,21630.86252241337,2961504.0,0.0007651801398552,0.0264556093179333,34.55238519839501
0.020741502,4302,1855399,2521,683596,28012967,0,prog,14078.8,3452.406786898685,15752.0,716044.3,400358.22458367137,1855399.0,2421.8,168.82522191693445,2658.0,137635.2,191832.5981867177,683596.0,5434950.8,7933130.675962952,28012967.0,8.999403419159298e-05,0.002318637490568,271.05313243457573
0.020741812,15024,584709,2319,75794,2903328,0,ffmpeg,14104.4,3459.0279045486645,15752.0,716222.5,400292.7817153207,1855399.0,2439.7,143.16660845855156,2658.0,137620.9,191837.71371567057,683596.0,5435475.0,7932944.592277364,28012967.0,0.0007987382759583,0.025694788869696,32.6698275862069
0.020742136,15245,579615,2572,75828,2873837,0,ffmpeg,14148.7,3471.7681070156123,15752.0,715116.8,400693.1848020938,1855399.0,2461.2,145.49211509666685,2658.0,137468.0,191891.6843476491,683596.0,5430133.8,7934838.760730202,28012967.0,0.0008949704193486,0.0263018964279799,29.470656820831717
0.020742498,3441,1966538,3605,1264990,9747868,0,stream,12955.3,4800.31892574762,15752.0,851967.1,558774.6595044578,1966538.0,2555.9,390.2106126465136,3605.0,256167.4,402530.22423338325,1264990.0,6108770.2,7990259.468234708,28012967.0,0.000369824420086,0.0017497746040124,350.8014420410427
0.020742658,15424,609803,2436,79189,3021365,0,ffmpeg,12922.5,4780.164414885248,15610.0,853594.7,557961.3443562102,1966538.0,2542.8,391.99143981550696,3605.0,256394.5,402418.4836315024,1264990.0,6115972.0,7987127.244513762,28012967.0,0.0008062578317224,0.0252933729526208,32.49446040213377
0.020743691,15450,590790,2321,77091,2933146,0,ffmpeg,12984.6,4811.614379118014,15610.0,854138.8,557673.2765585165,1966538.0,2547.4,388.7561932336552,3605.0,256549.5,402341.3752461266,1264990.0,6118762.1,7985885.814719567,28012967.0,0.0007913002655509,0.0261513800988843,33.200258397932814
0.020744221,15295,609031,2709,78750,3017916,0,ffmpeg,12990.2,4814.561380737687,15610.0,856119.5,556662.0859217221,1966538.0,2578.2,388.06895149039696,3605.0,256767.9,402233.3989471094,1264990.0,6128447.0,7981634.508337068,28012967.0,0.0008976390006749,0.0251136229295012,29.059040590405903
0.020744605,16353,603843,2448,79096,2988277,0,ffmpeg,13104.6,4886.199254590161,16353.0,857209.1,556100.1005553372,1966538.0,2576.9,388.52669005955545,3605.0,256922.4,402157.201595816,1264990.0,6133661.1,7979334.078744255,28012967.0,0.0008192008909478,0.0270814978703108,32.29726418946509
0.020746467,15224,592548,2530,77313,2938836,0,ffmpeg,13136.8,4900.400545987339,16353.0,858232.0,555547.4141251236,1966538.0,2570.3,388.7267106275315,3605.0,256914.8,402160.9721151746,1264990.0,6136756.8,7977949.419711041,28012967.0,0.0008608847649597,0.0256923899964391,30.546424338206243
0.02074718,15465,601828,2579,79485,2981457,0,ffmpeg,13122.3,4892.477492141687,16353.0,859410.4,554927.4913272108,1966538.0,2604.0,371.3210650273938,3605.0,257113.2,402063.10396166536,1264990.0,6141899.7,7975668.799738755,28012967.0,0.0008650130238292,0.0256966679904092,30.80813953488372
0.020747499,15162,589971,2447,76647,2923811,0,ffmpeg,14208.3,3800.5225971059554,16353.0,732867.6,433586.35975629074,1966538.0,2596.6,373.8874459272028,3605.0,196418.3,375460.37191280257,1264990.0,3632984.1,2149097.2365375776,9747868.0,0.0008369211153111,0.0256995247232072,31.31004901960784
0.020750138,15497,625934,2523,81096,3121955,0,ffmpeg,14255.6,3814.719392621996,16353.0,736990.1,432214.9743270644,1966538.0,2617.0,362.4484637691729,3605.0,196948.5,375274.8056644624,1264990.0,3654846.8,2141949.873080543,9747868.0,0.0008081472000245,0.0247581617899622,32.12995245641839
0.020751038,15487,601636,2472,79188,2973041,0,ffmpeg,14279.8,3822.453162274152,16353.0,739192.2,431379.36051894486,1966538.0,2607.0,365.1970548739866,3605.0,197284.5,375155.7970850244,1264990.0,3664767.2,2138157.0991799813,9747868.0,0.000831471603832,0.0257414354502798,32.02102709260008
0.020751877,15287,589514,2461,75627,2927139,0,ffmpeg,15464.4,333.73782125375783,16353.0,601489.8,11545.635325397505,625934.0,2492.6,102.60950789696336,2709.0,78348.2,1630.5001822954705,81096.0,2982694.3,60724.91369950687,3121955.0,0.0008407524067861,0.0259314860520936,30.71770917952884
0.020758314,14652,580573,2381,75218,2881386,0,ffmpeg,15387.2,421.7939992219548,16353.0,598566.8,12835.19117982355,625934.0,2487.1,107.34518567981904,2709.0,77951.1,1869.0788254048305,81096.0,2968696.4,66663.47730755465,3121955.0,0.0008263381489539,0.0252370929459465,31.577665827036103
0.020759672,15441,592773,2296,76678,2941967,0,ffmpeg,15386.3,421.6546902142208,16353.0,598765.1,12716.461181841709,625934.0,2484.6,111.8403624207854,2709.0,77909.8,1894.5845513577297,81096.0,2969578.5,66197.53414399936,3121955.0,0.0007804299706862,0.0260487133376295,33.38180235089247
0.020762836,15892,602493,2680,80012,2980241,0,ffmpeg,15446.0,448.6882114709317,16353.0,598111.3,12290.960798279444,625934.0,2481.7,105.57572321835796,2680.0,78036.0,1996.0822739720888,81096.0,2965811.0,64182.254537989815,3121955.0,0.0008992558322444,0.0263770261612563,29.84408802685565
0.020771816,15524,582899,2430,76325,2892977,0,ffmpeg,15363.1,320.8670371936456,15892.0,596016.9,12971.361741688082,625934.0,2479.9,106.36462444384104,2680.0,77758.9,2024.7133377397292,81096.0,2956281.0,67466.96111448779,3121955.0,0.0008399649081327,0.026632355464059,31.39654463183875
0.020772132,15099,587965,2449,77143,2917048,0,ffmpeg,15350.6,329.2142834785837,15892.0,595558.6,13186.716659846086,625934.0,2471.8,105.203295257703,2680.0,77741.9,2029.5810432530816,81096.0,2954102.2,68437.76260046168,3121955.0,0.0008395470902271,0.0256800563297877,31.486938775510204
0.020775179,16225,601398,3224,79940,2981598,0,ffmpeg,15426.6,430.65407618552257,16225.0,595515.6,13164.684206887088,625934.0,2536.3,260.8362832629159,3224.0,77787.4,2077.5342329093023,81096.0,2954116.3,68444.03885601592,3121955.0,0.0010812989942644,0.0269787611884954,24.787596899224805
0.020775681,15095,588760,2300,76750,2925571,0,ffmpeg,15419.9,435.7194433752135,16225.0,595394.5,13226.778739879524,625934.0,2521.6,270.3952662302829,3224.0,77797.7,2071.498708669922,81096.0,2954292.3,68359.662633517,3121955.0,0.000786171046209,0.0256385867949813,33.35506301607997
0.02077616,15336,590847,2539,78162,2928878,0,ffmpeg,15403.8,435.5284912247869,16225.0,591885.8,7741.935026590542,602493.0,2523.2,270.45180305837,3224.0,77504.3,1732.4695956989176,80012.0,2934984.6,34744.502616505124,2981598.0,0.0008668845657331,0.0259559142114384,30.77244094488189
0.020778264,15993,601378,2539,78963,2980131,0,ffmpeg,15454.4,473.9662904113716,16225.0,591860.0,7706.179526151901,602493.0,2529.9,269.8717596682027,3224.0,77481.8,1709.481909825656,80012.0,2935693.6,35667.453574831685,2981598.0,0.0008519756842985,0.0265938784028042,31.08779527559055
0.020780884,15296,595925,2445,77297,2960791,0,ffmpeg,15455.3,473.62152025252897,16225.0,592501.1,7755.838251877287,602493.0,2528.3,270.3726029837157,3224.0,77648.8,1585.207087775057,80012.0,2939058.8,36351.61282653824,2981598.0,0.0008257925582073,0.0256676164490221,31.601390024529845
