time,branch-misses,branch-instructions,LLC-load-misses,L1-dcache-load-misses,instructions,label,program
0.512954641,5393,713106,35481,89546,4104288,1,fallout
0.52320386,5371,714801,35504,88792,4112897,1,fallout
0.533453032,5371,711758,35453,89071,4095819,1,fallout
0.543711357,5469,713348,35525,87348,4107399,1,fallout
0.553958642,5316,712021,35440,88323,4098349,1,fallout
0.564208208,5275,711473,35532,87117,4097133,1,fallout
0.574456326,5302,714641,35457,87587,4114138,1,fallout
0.584703624,5328,712952,35469,86951,4102390,1,fallout
0.594955154,5419,717643,35525,88499,4124858,1,fallout
0.605212807,5346,712409,35533,87823,4103756,1,fallout
0.615470635,5346,712023,35517,88454,4099178,1,fallout
0.625720005,5572,717152,35477,89238,4123121,1,fallout
0.635966713,5438,715966,35394,89836,4113649,1,fallout
0.646217142,5510,715671,35401,89851,4111186,1,fallout
0.656467663,5425,715321,35436,88528,4112425,1,fallout
0.666714827,5462,717522,35467,89131,4119773,1,fallout
0.67697486,5495,719023,35498,88886,4129007,1,fallout
0.68722584,5343,715440,35498,87658,4113381,1,fallout
0.697474696,5341,715879,35460,88834,4113522,1,fallout
0.707723095,5369,714107,35458,89137,4108381,1,fallout
0.717971751,5551,716639,35457,90656,4117237,1,fallout
0.728220986,5481,719577,35571,89363,4129670,1,fallout
0.738469183,5408,714199,35434,88960,4108453,1,fallout
0.748716305,5449,713505,35428,88583,4101449,1,fallout
0.758972413,5540,717082,35483,88812,4119112,1,fallout
0.769223829,5546,716432,35425,88469,4118998,1,fallout
0.779472442,5441,718582,35467,87776,4126221,1,fallout
0.789719517,5397,717278,35473,88795,4122959,1,fallout
0.799968769,5351,714313,35485,88580,4104797,1,fallout
0.81022688,5388,717579,35498,89462,4122715,1,fallout
0.820476326,5374,716724,35431,90269,4118882,1,fallout
0.830732425,5392,718616,35462,89742,4126235,1,fallout
0.840980181,5371,718400,35473,89097,4129271,1,fallout
0.851228721,5295,714550,35438,89948,4106160,1,fallout
0.861478347,5360,714654,35512,90640,4107669,1,fallout
0.871725177,5297,715530,35388,88267,4113019,1,fallout
0.881972655,5343,715706,35430,88050,4112595,1,fallout
0.892220177,5270,717130,35503,87198,4119763,1,fallout
0.902469611,5360,716986,35440,88817,4121320,1,fallout
0.912722023,5408,715852,35502,88369,4113969,1,fallout
0.922975107,5505,717184,35460,89243,4121633,1,fallout
0.933220579,5453,720938,35441,89470,4132918,1,fallout
0.94347851,5443,722358,35503,90344,4141252,1,fallout
0.953725069,5389,719457,35364,90772,4128460,1,fallout
0.963972398,5412,718811,35471,90479,4124547,1,fallout
0.974217734,5587,722152,35373,90602,4137150,1,fallout
0.984464986,5367,719119,35450,89010,4127307,1,fallout
0.994720332,5412,720660,35512,89448,4132972,1,fallout
0.410368268,4858,659384,36209,86019,3834704,1,fallout
0.420703018,6398,712238,35671,86814,4107806,1,fallout
0.430954894,5740,711611,35579,84637,4100194,1,fallout
0.44120632,5553,709542,35444,85237,4088283,1,fallout
0.451454195,5496,710212,35504,85199,4093933,1,fallout
0.461700617,5574,708901,35530,85855,4087297,1,fallout
0.471947684,5616,709097,35476,85566,4085859,1,fallout
0.482202341,5518,712331,35460,87429,4103244,1,fallout
0.49244887,5607,727739,36303,88706,4189298,1,fallout
0.502691196,5646,732980,36574,88887,4221477,1,fallout
0.512936834,5734,736596,36609,88807,4233809,1,fallout
0.523179302,5511,729740,36590,87648,4204220,1,fallout
0.533419513,5587,733819,36545,87715,4225433,1,fallout
0.54367403,5700,736081,36592,87888,4233819,1,fallout
0.553916153,5525,730670,36551,87631,4211212,1,fallout
0.564159159,5533,732542,36619,87743,4217979,1,fallout
0.574407507,5602,736001,36528,88466,4233795,1,fallout
0.584647378,5521,732896,36585,89331,4220397,1,fallout
0.594889263,5498,729849,36642,87949,4205893,1,fallout
0.605134414,5534,736865,36530,88436,4238828,1,fallout
0.615379928,5547,731499,36623,88833,4213067,1,fallout
0.625621423,5890,738292,36593,89863,4242847,1,fallout
0.63586195,5689,734885,36488,89360,4226363,1,fallout
0.646103731,5623,738823,36632,89664,4244053,1,fallout
0.656343236,5595,734262,36519,89302,4221365,1,fallout
0.666584113,5564,734913,36512,89430,4227387,1,fallout
0.676835665,5684,736719,36605,89784,4234373,1,fallout
0.68707906,5647,740059,36517,90503,4250630,1,fallout
